Date,Open,High,Low,Close,Volume,news_count,news_indices
2024-01-02 16:30:00,187.728,188.034,185.994,186.494,0,0,
2024-01-02 17:00:00,186.464,186.944,186.052,186.164,0,1,630
2024-01-02 17:30:00,186.154,186.154,185.162,185.878,0,0,
2024-01-02 18:00:00,185.863,186.888,185.854,186.782,0,2,"628,629"
2024-01-02 18:30:00,186.778,187.338,186.64,186.722,0,4,"624,625,626,627"
2024-01-02 19:00:00,186.733,186.938,186.544,186.59,0,1,623
2024-01-02 19:30:00,186.608,187.028,185.82,185.853,0,1,622
2024-01-02 20:00:00,185.863,185.934,185.244,185.274,0,2,"620,621"
2024-01-02 20:30:00,185.274,185.523,184.732,184.888,0,0,
2024-01-02 21:00:00,184.893,184.963,184.22,184.473,0,3,"617,618,619"
2024-01-02 21:30:00,184.464,184.668,184.002,184.026,0,1,616
2024-01-02 22:00:00,184.024,184.437,183.87,184.408,0,4,"612,613,614,615"
2024-01-02 22:30:00,184.403,185.438,184.392,185.42,0,1,611
2024-01-02 23:00:00,,,,,0,0,
2024-01-02 23:30:00,,,,,0,0,
2024-01-03 00:00:00,,,,,0,0,
2024-01-03 00:30:00,,,,,0,0,
2024-01-03 01:00:00,,,,,0,0,
2024-01-03 01:30:00,,,,,0,0,
2024-01-03 02:00:00,,,,,0,0,
2024-01-03 02:30:00,,,,,0,0,
2024-01-03 03:00:00,,,,,0,0,
2024-01-03 03:30:00,,,,,0,1,610
2024-01-03 04:00:00,,,,,0,0,
2024-01-03 04:30:00,,,,,0,0,
2024-01-03 05:00:00,,,,,0,1,609
2024-01-03 05:30:00,,,,,0,0,
2024-01-03 06:00:00,,,,,0,0,
2024-01-03 06:30:00,,,,,0,1,608
2024-01-03 07:00:00,,,,,0,0,
2024-01-03 07:30:00,,,,,0,1,607
2024-01-03 08:00:00,,,,,0,0,
2024-01-03 08:30:00,,,,,0,1,606
2024-01-03 09:00:00,,,,,0,0,
2024-01-03 09:30:00,,,,,0,0,
2024-01-03 10:00:00,,,,,0,1,605
2024-01-03 10:30:00,,,,,0,1,604
2024-01-03 11:00:00,,,,,0,3,"601,602,603"
2024-01-03 11:30:00,,,,,0,2,"599,600"
2024-01-03 12:00:00,,,,,0,0,
2024-01-03 12:30:00,,,,,0,2,"597,598"
2024-01-03 13:00:00,,,,,0,1,596
2024-01-03 13:30:00,,,,,0,1,595
2024-01-03 14:00:00,,,,,0,2,"593,594"
2024-01-03 14:30:00,,,,,0,0,
2024-01-03 15:00:00,,,,,0,1,592
2024-01-03 15:30:00,,,,,0,0,
2024-01-03 16:00:00,,,,,0,1,591
2024-01-03 16:30:00,185.607,185.847,184.596,184.757,0,0,
2024-01-03 17:00:00,184.747,185.167,183.628,183.936,0,1,590
2024-01-03 17:30:00,183.936,184.097,183.436,183.836,0,1,589
2024-01-03 18:00:00,183.845,184.247,183.826,184.177,0,1,588
2024-01-03 18:30:00,184.176,184.357,183.477,183.485,0,1,587
2024-01-03 19:00:00,183.487,183.917,183.416,183.905,0,2,"585,586"
2024-01-03 19:30:00,183.907,184.361,183.835,184.326,0,2,"583,584"
2024-01-03 20:00:00,184.316,184.527,184.217,184.457,0,0,
2024-01-03 20:30:00,184.457,184.537,184.156,184.317,0,0,
2024-01-03 21:00:00,184.347,184.797,183.786,184.715,0,2,"581,582"
2024-01-03 21:30:00,184.716,184.907,184.486,184.627,0,1,580
2024-01-03 22:00:00,184.637,184.696,184.196,184.346,0,0,
2024-01-03 22:30:00,184.367,184.497,183.977,184.016,0,1,579
2024-01-03 23:00:00,,,,,0,1,578
2024-01-03 23:30:00,,,,,0,0,
2024-01-04 00:00:00,,,,,0,0,
2024-01-04 00:30:00,,,,,0,0,
2024-01-04 01:00:00,,,,,0,0,
2024-01-04 01:30:00,,,,,0,0,
2024-01-04 02:00:00,,,,,0,0,
2024-01-04 02:30:00,,,,,0,0,
2024-01-04 03:00:00,,,,,0,0,
2024-01-04 03:30:00,,,,,0,0,
2024-01-04 04:00:00,,,,,0,0,
2024-01-04 04:30:00,,,,,0,0,
2024-01-04 05:00:00,,,,,0,0,
2024-01-04 05:30:00,,,,,0,0,
2024-01-04 06:00:00,,,,,0,0,
2024-01-04 06:30:00,,,,,0,0,
2024-01-04 07:00:00,,,,,0,0,
2024-01-04 07:30:00,,,,,0,1,577
2024-01-04 08:00:00,,,,,0,0,
2024-01-04 08:30:00,,,,,0,0,
2024-01-04 09:00:00,,,,,0,0,
2024-01-04 09:30:00,,,,,0,0,
2024-01-04 10:00:00,,,,,0,1,576
2024-01-04 10:30:00,,,,,0,0,
2024-01-04 11:00:00,,,,,0,1,575
2024-01-04 11:30:00,,,,,0,1,574
2024-01-04 12:00:00,,,,,0,0,
2024-01-04 12:30:00,,,,,0,1,573
2024-01-04 13:00:00,,,,,0,0,
2024-01-04 13:30:00,,,,,0,0,
2024-01-04 14:00:00,,,,,0,1,572
2024-01-04 14:30:00,,,,,0,4,"568,569,570,571"
2024-01-04 15:00:00,,,,,0,3,"565,566,567"
2024-01-04 15:30:00,,,,,0,4,"561,562,563,564"
2024-01-04 16:00:00,,,,,0,3,"558,559,560"
2024-01-04 16:30:00,182.769,183.069,181.209,181.451,0,1,557
2024-01-04 17:00:00,181.479,182.121,181.308,181.669,0,0,
2024-01-04 17:30:00,181.669,181.729,180.871,181.461,0,1,556
2024-01-04 18:00:00,181.47,182.339,181.47,182.101,0,0,
2024-01-04 18:30:00,182.101,182.429,181.297,181.429,0,2,"554,555"
2024-01-04 19:00:00,181.42,182.129,181.411,182.118,0,2,"552,553"
2024-01-04 19:30:00,182.128,182.379,181.948,182.218,0,1,551
2024-01-04 20:00:00,182.209,182.979,182.158,182.891,0,0,
2024-01-04 20:30:00,182.888,183.059,182.668,182.758,0,0,
2024-01-04 21:00:00,182.731,182.949,182.409,182.491,0,1,550
2024-01-04 21:30:00,182.488,182.641,182.248,182.29,0,0,
2024-01-04 22:00:00,182.298,182.539,181.858,181.93,0,1,549
2024-01-04 22:30:00,181.928,182.409,181.531,181.728,0,1,548
2024-01-04 23:00:00,,,,,0,0,
2024-01-04 23:30:00,,,,,0,0,
2024-01-05 00:00:00,,,,,0,0,
2024-01-05 00:30:00,,,,,0,1,547
2024-01-05 01:00:00,,,,,0,0,
2024-01-05 01:30:00,,,,,0,0,
2024-01-05 02:00:00,,,,,0,0,
2024-01-05 02:30:00,,,,,0,0,
2024-01-05 03:00:00,,,,,0,0,
2024-01-05 03:30:00,,,,,0,0,
2024-01-05 04:00:00,,,,,0,0,
2024-01-05 04:30:00,,,,,0,0,
2024-01-05 05:00:00,,,,,0,1,546
2024-01-05 05:30:00,,,,,0,0,
2024-01-05 06:00:00,,,,,0,0,
2024-01-05 06:30:00,,,,,0,0,
2024-01-05 07:00:00,,,,,0,0,
2024-01-05 07:30:00,,,,,0,1,545
2024-01-05 08:00:00,,,,,0,1,544
2024-01-05 08:30:00,,,,,0,2,"542,543"
2024-01-05 09:00:00,,,,,0,0,
2024-01-05 09:30:00,,,,,0,0,
